id,x            ,y
0 ,369848.062123,5771583.185936
1 ,408776.832332,5786023.648818
2 ,449103.088155,5760120.693776
3 ,486384.224371,5801312.169331
4 ,493308.603866,5765377.805234
5 ,458476.415192,5734389.437593
6 ,429190.098621,5693188.886055
7 ,396845.818346,5741052.937450
8 ,368519.955549,5739204.067369
9 ,336774.706927,5735079.108321
10,303477.175860,5738058.816088
11,304963.171368,5717485.329181
12,345983.877216,5704168.516496
13,382087.722058,5703203.242617
14,413859.609085,5702565.941403
15,431441.643138,5704581.846442
16,468327.133513,5703457.338047
17,469109.401922,5666554.531566
18,422993.405726,5666271.459897
19,388662.606073,5667142.332610
20,352079.788800,5668831.041965
21,319813.248790,5669860.457447
22,301011.157131,5634612.712956
23,339156.779706,5633045.797966
24,374727.230178,5641571.278418
25,407990.914100,5643955.805878
26,444030.555473,5647043.121766
27,439771.142753,5609253.939231
28,324115.449204,5600212.838222